Nave,Tipo,Passageiro_1,ID_1,Idade_1,Planeta_1,Passageiro_2,ID_2,Idade_2,Planeta_2,Passageiro_3,ID_3,Idade_3,Planeta_3,Suprimento_1,Suprimento_2,Suprimento_3
Falcon 9,Policial,Zorblax,23567,1,Alpha Centauri b,Zogar,23501,341,Capella b,Vyxar,12345,237,Alphard e,Rubinita,Sopa Quarnix,Comunicador Gravitacional
Soyuz,Cargas,Xylokrin,87492,48,Sirius b,Xandar,87411,127,Mintaka b,Kryzix,67890,49,Proxima Centauri a,Siderita,Macarrão Zorblat,Pulseira Quântica
Space Shuttle,Ambulância,Velnor,10938,214,Proxima Centauri c,Vexlor,10922,255,Sirius c,Zandok,54321,128,Antares c,Ametrina,Gelato Cristalino,Óculos de Nebulosa
Ariane 5,Refugiados,Quilrax,56781,382,Polaris b,Quixar,56738,4,Antares b,Grythar,98765,372,Vega f,Zircônio,Salada de Frutas da Nebulosa,Sapatos Movidos a Plasma
Saturn V,Viametro,Plorath,34902,309,Betelgeuse e,Pallax,34987,74,Fomalhaut e,Plynor,23456,92,Sirius c,Aquamalita,Ensopado de Xylophor,Tradutor Intergaláctico
H-IIA,Cargas,Ogrindor,62184,92,Vega d,Orgrim,62133,419,Sargas d,Zandor,78901,415,Aldebaran a,Lápis-verde,Pudim Plasmático,Holografador Holográfico
Long March 5,Policial,Nylthor,45023,162,Canopus c,Nixar,45056,188,Rigel c,Xyrlak,45678,180,Sargas a,Titanita,Sushi Celestial,Mochila Cósmica
Delta IV,Refugiados,Mordix,76312,448,Arcturus b,Marlix,76324,53,Vega e,Thralkor,89012,65,Altair c,Citrinita,Guisado Galáctico,Cristal de Energia Alienígena
Atlas V,Ambulância,Liriana,89034,420,Sirius c,Lixara,89065,479,Polaris c,Vexlon,34567,309,Alphard f,Esmeraldita,Abacate Astral,Diário Galáctico
Vega,Viametro,Kryzoth,12349,183,Antares a,Krazar,12376,236,Alphard f,Zolgrin,90123,473,Gacrux f,Galenita,Nachos Netunianos,Reprodutor de Música Interdimensional
Falcon Heavy,Cargas,Jarnok,67890,276,Rigel b,Jorlak,67882,97,Hadar b,Myrnix,56789,82,Rigel a,Ônix,Quiche Quasar,Bússola da Luz das Estrelas
Proton,Ambulância,Hylthar,54321,394,Deneb d,Hyndor,54398,311,Proxima Centauri c,Qyldor,43210,261,Canopus a,Cobaltita,Sorvete de Ejeção Solar,Caderno da Nebulosa
Starship,Policial,Grivlak,98765,60,Altair e,Glorix,98723,161,Alpha Centauri b,Zylnor,87654,57,Bellatrix a,Calcirina,Wrap de Vegetais Venusianos,Óculos de Xenon-Xenon
GSLV Mk III,Viametro,Felnor,56789,422,Altair e,Felora,56751,424,Canopus c,Vorand,21098,434,Aldebaran a,Cobrenita,Sorvete Ionizado,Bloco de Anotações Cósmicas
Electron,Refugiados,Draxel,87654,135,Spica c,Dralok,87693,66,Gacrux d,Fylkarn,34568,148,Capella c,Pirita,Croutons Ciborgues,Dispositivo de Teletransporte
PSLV,Cargas,Cylorin,34567,455,Sirius b,Crixan,34519,432,Zubeneschamali c,Zorvax,78902,392,Mintaka f,Azurita,Smoothie Saturniano,Inalador de Nebulizador
Shenzhou,Ambulância,Steve,23456,40,Alpha Centauri b,Vicetim,23434,273,Aldebaran c,Roqueiro,12346,209,Sirius f,Brazinito,Trufa de Algas Alienígenas,Unhas Postiças que Desafiam a Gravidade
Antares,Refugiados,Azulak,67812,289,Bellatrix f,Zylor,67877,95,Aldebaran c,Syldrak,56790,368,Regulus c,Cianita,Kebab Cósmico,Perfume Celestial
New Shepard,Viametro,Zynthar,45678,357,Capella a,Zynthar,45654,183,Polaris c,Kryzara,90124,122,Alphard d,Quartinita,Maçã de Andrômeda,Relógio Alimentado por Fótons
SLS,Policial,Vorkin,89012,91,Capella a,Vortix,89043,351,Capella f,Vylthor,23457,482,Hamal e,Ametina,Pirulito Lunar,Amuleto de Andrômeda
Falcon 1,Cargas,Uthral,56734,34,Gacrux d,Ulixar,56788,140,Achernar c,Qyntok,67891,315,Polaris f,Magnesita,Muffin Marciano,Garrafa de Água Alienígena
Zenit,Ambulância,Threxar,12356,464,Sargas e,Thralix,12378,200,Altair e,Zyndar,54322,76,Alpha Centauri f,Hematita,Sushi Interdimensional Inari,Carteira da Nebulosa
Ariane 6,Refugiados,Sylvaris,90876,289,Zubeneschamali b,Slyndra,90892,89,Canopus d,Fyrnix,87655,292,Betelgeuse a,Obsidinata,Salada Exo,Caneta Interdimensional
Delta II,Viametro,Ragnok,45632,197,Hamal d,Rylox,45672,458,Algieba b,Brolthar,21099,191,Alnilam a,Ferganita,Sashimi Luz das Estrelas,Pente Movido a Plasma
Atlas Centaur,Policial,Qyndor,98701,376,Arcturus c,Quendak,98757,43,Arcturus c,Tyndak,45679,401,Alpha Centauri f,Topázio,Omelete Orbital,Colar da Nebulosa
R-7,Cargas,Plixor,21345,123,Sargas e,Plaxis,21389,374,Betelgeuse f,Vyxara,89013,158,Proxima Centauri e,Zincolita,Udon UFO,Espelho de Mão da Nebulosa
Titan II,Refugiados,Onyxen,65432,195,Proxima Centauri b,Orynd,65401,107,Hamal d,Grivon,12347,356,Canopus a,Jadeíta,Uvas da Gravidade,Mochila do Hiperespaço
Linha 8,Viametro,Pedro Henrique,89056,13,Terra,Pedro Henrique,89076,21,Terra,Pedro Henrique,56791,11,Terra,Notebook,Notebook,Notebook
Falcon 5,Policial,Myrlok,12789,269,Achernar d,Mylara,12709,366,Castor d,Jylnar,90125,444,Fomalhaut f,Siderazul,Grãos Intergalácticos,Cristais Alienígenas de Meditação
GSLV Mk II,Ambulância,Kryndon,87601,88,Alnilam b,Kryndor,87612,21,Sargas e,Vylor,23458,62,Sirius a,Garnetita,Berinjela Éter,Luminária de Neutrinos
